<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CA,D,10/07/23,020000,8356.49
CA,D,11/07/23,020000,8305
CA,D,12/07/23,020000,8488.75
CA,D,13/07/23,020000,8687
CA,D,14/07/23,020000,8661.75
CA,D,17/07/23,020000,8468
CA,D,18/07/23,020000,8444.99
CA,D,19/07/23,020000,8401.79
CA,D,20/07/23,020000,8460.75
CA,D,21/07/23,020000,8422.5
CA,D,24/07/23,020000,8487.75
CA,D,25/07/23,020000,8641.25
CA,D,26/07/23,020000,8577.25
CA,D,27/07/23,020000,8528
CA,D,28/07/23,020000,8625.49
CA,D,31/07/23,020000,8800
CA,D,01/08/23,020000,8594.25
CA,D,02/08/23,020000,8469.24
CA,D,03/08/23,020000,8570.5
CA,D,04/08/23,020000,8523.25
CA,D,07/08/23,020000,8436.11
CA,D,08/08/23,020000,8303
CA,D,09/08/23,020000,8363.26
CA,D,10/08/23,020000,8320
CA,D,11/08/23,020000,8255.6
CA,D,14/08/23,020000,8242.75
CA,D,15/08/23,020000,8143.5
CA,D,16/08/23,020000,8115.25
CA,D,17/08/23,020000,8200.85
CA,D,18/08/23,020000,8213.75
CA,D,21/08/23,020000,8239
CA,D,22/08/23,020000,8330.7
CA,D,23/08/23,020000,8424.25
CA,D,24/08/23,020000,8326.5
CA,D,25/08/23,020000,8319.25
CA,D,29/08/23,020000,8411
CA,D,30/08/23,020000,8445.55
CA,D,31/08/23,020000,8404.5
CA,D,01/09/23,020000,8479.25
CA,D,04/09/23,020000,8437.25
CA,D,05/09/23,020000,8482.5
CA,D,06/09/23,020000,8358.75
CA,D,07/09/23,020000,8309.25
CA,D,08/09/23,020000,8229
CA,D,11/09/23,020000,8375.5
CA,D,12/09/23,020000,8367.5
CA,D,13/09/23,020000,8397.5
CA,D,14/09/23,020000,8372.25
CA,D,15/09/23,020000,8350.35
CA,D,18/09/23,020000,8299.8
CA,D,19/09/23,020000,8233.5
CA,D,20/09/23,020000,8281.5
CA,D,21/09/23,020000,8129.75
CA,D,22/09/23,020000,8161.74
CA,D,25/09/23,020000,8075.4
CA,D,26/09/23,020000,8034.15
CA,D,27/09/23,020000,8056.5
CA,D,28/09/23,020000,8167.05
CA,D,29/09/23,020000,8212.5
CA,D,02/10/23,020000,7978
CA,D,03/10/23,020000,7929
